year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2014,"Massachusetts","04000US25","Eastern Africa- Not Specified","463",1207,1506.48,1.41445
2014,"Massachusetts","04000US25","Northern Africa- Not Specified","464",693,600.806,2.90304
2014,"Massachusetts","04000US25","Western Africa- Not Specified","467",638,407.3,0.633955
2014,"Massachusetts","04000US25","Other Africa- Not Specified","468",2410,1049.62,4.04002
2014,"Massachusetts","04000US25","Australia","501",3116,1198.85,1.36827
2014,"Massachusetts","04000US25","New Zealand","515",996,823.631,1.32785
2014,"Massachusetts","04000US25","Tonga","523",92,155.462,0.306596
2014,"Massachusetts","04000US25","Samoa","527",290,298.678,0.999928
2014,"Massachusetts","04000US25","Other US Island Areas, Oceania, Not Specified or at Sea","554",74,122.005,0.226691
2015,"Massachusetts","04000US25","Albania","100",9577,1559.19,5.20735
2015,"Massachusetts","04000US25","Austria","102",1467,346.935,1.27017
2015,"Massachusetts","04000US25","Belgium","103",1632,336.562,1.78841
2015,"Massachusetts","04000US25","Bulgaria","104",2681,605.92,1.85751
2015,"Massachusetts","04000US25","Czechoslovakia","105",242,132.627,0.557268
2015,"Massachusetts","04000US25","Denmark","106",740,228.648,1.09467
2015,"Massachusetts","04000US25","Finland","108",1095,281.531,2.43046
2015,"Massachusetts","04000US25","France","109",8737,946.849,1.87604
2015,"Massachusetts","04000US25","Germany","110",20607,1272.98,0.816083
2015,"Massachusetts","04000US25","Greece","116",12642,1333.01,3.90829
2015,"Massachusetts","04000US25","Hungary","117",1462,349.203,0.928399
2015,"Massachusetts","04000US25","Iceland","118",118,80.7618,0.496384
2015,"Massachusetts","04000US25","Ireland","119",16234,1263.34,5.61003
2015,"Massachusetts","04000US25","Italy","120",20950,1365.08,2.29228
2015,"Massachusetts","04000US25","Netherlands","126",2828,527.456,1.36004
2015,"Massachusetts","04000US25","Norway","127",624,240.969,0.98584
2015,"Massachusetts","04000US25","Poland","128",12002,1409.28,1.25406
2015,"Massachusetts","04000US25","Portugal","129",43037,1749.78,12.2439
2015,"Massachusetts","04000US25","Azores Islands","130",14714,1301.15,25.9532
2015,"Massachusetts","04000US25","Romania","132",2641,528.364,0.742823
2015,"Massachusetts","04000US25","Spain","134",4007,746.203,1.40165
2015,"Massachusetts","04000US25","Sweden","136",1811,361.354,1.65118
2015,"Massachusetts","04000US25","Switzerland","137",1813,335.688,1.79605
2015,"Massachusetts","04000US25","United Kingdom - Not Specified","138",13072,959.062,1.84063
2015,"Massachusetts","04000US25","England","139",11828,856.839,1.24594
2015,"Massachusetts","04000US25","Scotland","140",2151,418.435,1.38792
2015,"Massachusetts","04000US25","Northern Ireland","142",247,124.365,4.21185
2015,"Massachusetts","04000US25","Yugoslavia","147",846,400.524,0.656859
2015,"Massachusetts","04000US25","Czech Republic","148",859,257.482,1.34678
2015,"Massachusetts","04000US25","Slovakia","149",242,218.8,0.55834
2015,"Massachusetts","04000US25","Bosnia and Herzegovina","150",1812,567.64,0.719748
2015,"Massachusetts","04000US25","Croatia","151",289,127.109,0.317904
2015,"Massachusetts","04000US25","Macedonia","152",214,173.968,0.357268
2015,"Massachusetts","04000US25","Serbia","154",894,291.759,1.41518
2015,"Massachusetts","04000US25","Estonia","155",123,87.8536,2.52775
2015,"Massachusetts","04000US25","Latvia","156",932,240.993,1.96454
2015,"Massachusetts","04000US25","Lithuania","157",1615,450.366,2.00716
2015,"Massachusetts","04000US25","Armenia","158",1963,583.811,1.07392
2015,"Massachusetts","04000US25","Azerbaijan","159",565,243.099,1.29431
2015,"Massachusetts","04000US25","Belarus","160",2653,516.654,2.24737
2015,"Massachusetts","04000US25","Georgia","161",599,424.705,1.526
2015,"Massachusetts","04000US25","Moldova","162",2762,769.019,3.17386
2015,"Massachusetts","04000US25","Russia","163",20517,1531.53,2.33035
2015,"Massachusetts","04000US25","Ukraine","164",10120,1206.43,1.35752
2015,"Massachusetts","04000US25","USSR","165",2607,658.182,2.65489
2015,"Massachusetts","04000US25","Europe, Not Specified","166",59,79.0311,1.3048
2015,"Massachusetts","04000US25","Montenegro","168",100,88.0859,0.358556
