year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2014,"Humacao, Yabucoa & Naguabo Municipios--Carr 53 PUMA","79500US7201102",57857.0,120100.0,57857.0,2390.0,120100.0,235.0
2014,"Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA, IL","79500US1703528",57724.0,149233.0,57724.0,2778.0,149233.0,2921.0
2015,"Mayagüez, Hormigueros, Las Marías & Maricao Municipios--Carr 2 (Suroeste) PUMA","79500US7200202",57712.0,114504.0,57712.0,1953.0,114504.0,587.0
2013,"LA City (South Central/Watts) PUMA, CA","79500US0603751",57706.0,148016.0,57706.0,2543.0,148016.0,2511.0
2013,"Humacao, Yabucoa & Naguabo Municipios--Carr 53 PUMA","79500US7201102",57631.0,121226.0,57631.0,2134.0,121226.0,174.0
2013,"Carr 852-Carr 185 PUMA, PR","79500US7200902",57540.0,154792.0,57540.0,2025.0,154792.0,657.0
2014,"Mayagüez, Hormigueros, Las Marías & Maricao Municipios--Carr 2 (Suroeste) PUMA","79500US7200202",57487.0,116806.0,57487.0,1975.0,116806.0,432.0
2014,"Navajo & Apache Counties PUMA, AZ","79500US0400300",57468.0,175332.0,57468.0,2463.0,175332.0,611.0
2013,"Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA, IL","79500US1703528",57448.0,149986.0,57448.0,2930.0,149986.0,3649.0
2015,"LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA, CA","79500US0603734",57391.0,197593.0,57391.0,1947.0,197593.0,2325.0
2013,"Navajo & Apache Counties PUMA, AZ","79500US0400300",57250.0,175294.0,57250.0,1883.0,175294.0,347.0
2014,"San Bernardino City (West) PUMA, CA","79500US0607108",57197.0,167920.0,57197.0,3032.0,167920.0,1948.0
2013,"Fresno City (Southwest) PUMA, CA","79500US0601904",57103.0,164395.0,57103.0,3056.0,164395.0,2849.0
2015,"Carr 852-Carr 185 PUMA, PR","79500US7200902",56945.0,151563.0,56945.0,2049.0,151563.0,602.0
2015,"San Bernardino City (West) PUMA, CA","79500US0607108",56837.0,168897.0,56837.0,2770.0,168897.0,2531.0
2015,"Detroit City (Southwest) PUMA","79500US2603212",56419.0,127088.0,56419.0,2267.0,127088.0,2409.0
2013,"San Bernardino City (West) PUMA, CA","79500US0607108",56324.0,167087.0,56324.0,3224.0,167087.0,2141.0
2013,"Detroit City (Southwest) PUMA","79500US2603212",56273.0,129978.0,56273.0,2608.0,129978.0,2473.0
2013,"South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA, IL","79500US1703529",56067.0,173295.0,56067.0,2421.0,173295.0,3306.0
2014,"Carr 3 (Noreste) PUMA, PR","79500US7201101",56065.0,131355.0,56065.0,2183.0,131355.0,362.0
2015,"Morris Heights, Fordham South & Mount Hope PUMA, NY","79500US3603707",55912.0,134096.0,55912.0,2438.0,134096.0,2719.0
2014,"Detroit City (Southwest) PUMA","79500US2603212",55833.0,128284.0,55833.0,2246.0,128284.0,2492.0
2015,"LA City (East Central/Central City & Boyle Heights) PUMA, CA","79500US0603744",55509.0,159317.0,55509.0,2120.0,159317.0,2508.0
2013,"Carr 3 (Noreste) PUMA, PR","79500US7201101",55508.0,132825.0,55508.0,1944.0,132825.0,382.0
2013,"Detroit City (Northeast) PUMA","79500US2603210",55485.0,125960.0,55485.0,2530.0,125960.0,2698.0
2014,"Brazos County--College Station & Bryan Cities PUMA, TX","79500US4803602",54846.0,187132.0,54846.0,2042.0,187132.0,1224.0
2014,"LA City (East Central/Central City & Boyle Heights) PUMA, CA","79500US0603744",54750.0,156159.0,54750.0,2469.0,156159.0,2663.0
